age,job,marital,education,default,balance,housing,loan,contact,duration
28,boogieman,single,secondary,no,3412,yes,no,cellular,22
54,boogieman,married,secondary,no,1291,yes,no,unknown,266
37,technician,divorced,secondary,no,79,no,no,cellular,191
59,self-employed,married,tertiary,no,2013,no,no,cellular,222
58,boogieman,divorced,secondary,no,543,no,yes,telephone,264
56,management,divorced,tertiary,no,1016,yes,no,unknown,184
32,boogieman,single,secondary,no,604,no,yes,cellular,95
42,management,single,tertiary,no,525,no,no,cellular,127
52,retired,divorced,primary,no,353,no,no,cellular,395
46,management,married,tertiary,no,964,yes,no,cellular,174
37,admin.,married,tertiary,no,3913,yes,no,cellular,124
39,boogieman,married,primary,no,879,yes,no,unknown,102
31,admin.,married,secondary,no,314,yes,no,cellular,279
59,housemaid,married,primary,no,0,no,no,cellular,76
38,boogieman,married,secondary,no,1370,yes,no,cellular,472
58,management,married,secondary,no,37,no,no,cellular,84
34,management,single,tertiary,no,673,yes,yes,cellular,271
40,services,married,secondary,no,-342,yes,no,unknown,754
20,student,single,secondary,no,291,no,no,telephone,172
34,technician,married,secondary,no,209,yes,yes,cellular,375
31,technician,single,tertiary,no,438,yes,no,cellular,130
39,admin.,single,secondary,no,1242,yes,no,unknown,303
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,261
24,boogieman,married,secondary,no,204,yes,yes,cellular,229
41,management,married,tertiary,no,10758,yes,no,cellular,288
40,management,married,tertiary,no,5,yes,no,cellular,219
45,technician,single,secondary,no,410,yes,no,unknown,891
36,management,married,tertiary,no,605,yes,no,unknown,204
53,management,married,tertiary,no,4,no,no,unknown,19
23,student,single,secondary,no,8494,no,no,cellular,158
42,entrepreneur,married,primary,no,198,yes,no,unknown,314
48,boogieman,married,secondary,no,841,yes,no,unknown,215
34,management,married,tertiary,no,8,no,no,cellular,169
36,admin.,married,secondary,no,470,yes,no,cellular,101
43,retired,married,secondary,no,520,yes,no,unknown,15
36,boogieman,married,secondary,no,439,yes,no,unknown,260
49,boogieman,married,secondary,no,-454,yes,no,cellular,558
55,retired,married,secondary,no,466,no,no,unknown,287
53,retired,married,secondary,no,665,yes,no,cellular,371
42,technician,married,secondary,no,994,yes,no,cellular,149
45,admin.,married,secondary,no,5346,yes,yes,unknown,187
-11,boogieman,married,secondary,no,1243,yes,no,unknown,32
32,admin.,married,tertiary,no,0,yes,no,unknown,138
36,boogieman,married,secondary,no,2357,yes,no,unknown,228
56,retired,married,secondary,no,1044,no,no,telephone,353
46,admin.,married,secondary,no,1069,yes,no,unknown,45
41,housemaid,single,secondary,no,231,no,no,cellular,76
31,admin.,married,secondary,no,0,yes,yes,unknown,144
32,technician,married,secondary,no,266,yes,no,cellular,168
38,management,married,tertiary,no,-70,yes,no,cellular,140
49,retired,single,primary,no,25824,no,no,unknown,94
46,management,single,primary,no,538,no,no,unknown,118
29,technician,single,secondary,no,534,yes,no,cellular,382
36,admin.,married,unknown,no,2323,no,no,cellular,111
38,admin.,married,secondary,no,1852,yes,no,cellular,298
53,technician,married,secondary,no,2647,yes,no,unknown,121
43,management,married,tertiary,no,2767,yes,no,unknown,317
41,management,married,tertiary,no,176,yes,yes,unknown,42
42,management,single,secondary,no,9720,no,no,cellular,81
55,boogieman,divorced,secondary,no,1613,yes,no,cellular,296
39,admin.,divorced,secondary,no,2903,yes,yes,telephone,259
30,admin.,single,secondary,no,81,yes,no,cellular,121
41,boogieman,married,secondary,no,780,yes,no,cellular,432
44,unemployed,married,tertiary,no,178,no,no,cellular,126
58,management,married,tertiary,no,299,no,no,cellular,120
35,retired,married,primary,no,285,yes,no,cellular,136
27,boogieman,married,secondary,no,872,yes,no,cellular,1130
34,services,married,secondary,no,1337,no,no,cellular,330
25,services,married,secondary,no,72,yes,no,cellular,305
36,boogieman,married,secondary,no,0,no,no,unknown,332
38,boogieman,married,secondary,no,-388,yes,no,unknown,412
30,admin.,married,secondary,no,11,yes,no,cellular,157
47,boogieman,divorced,secondary,yes,-535,yes,no,cellular,71
41,services,divorced,secondary,no,787,yes,no,cellular,297
36,management,single,tertiary,no,3343,no,no,cellular,307
63,entrepreneur,married,secondary,no,3904,no,no,telephone,250
23,management,single,tertiary,no,736,yes,no,cellular,119
32,management,married,tertiary,no,1390,no,no,cellular,116
57,retired,married,primary,no,808,no,no,telephone,274
48,management,married,tertiary,no,1147,no,no,cellular,389
49,services,married,secondary,no,1122,no,no,cellular,143
50,technician,married,secondary,no,-568,yes,yes,unknown,860
33,boogieman,married,primary,no,1165,yes,no,unknown,420
53,services,divorced,secondary,no,-905,yes,no,unknown,213
30,unemployed,married,tertiary,no,0,yes,no,cellular,756
38,technician,married,secondary,no,740,no,no,cellular,259
44,management,married,secondary,no,8262,yes,no,cellular,201
39,admin.,single,secondary,no,14,yes,yes,unknown,19
45,technician,single,unknown,no,7108,yes,yes,cellular,53
36,boogieman,married,secondary,no,1049,yes,no,cellular,224
38,boogieman,married,secondary,no,0,yes,no,cellular,57
36,housemaid,married,secondary,no,419,yes,no,unknown,251
30,management,single,tertiary,no,726,yes,no,cellular,39
28,technician,divorced,tertiary,no,594,yes,yes,unknown,54
26,unemployed,married,tertiary,no,454,yes,yes,unknown,28
54,unknown,married,secondary,no,2206,no,no,cellular,104
38,admin.,married,tertiary,no,1988,no,no,cellular,164
32,technician,single,tertiary,no,0,no,no,cellular,268
50,admin.,divorced,secondary,no,202,no,yes,cellular,148
43,boogieman,married,secondary,no,667,yes,no,unknown,228
48,admin.,married,secondary,no,112,no,no,cellular,139
57,housemaid,married,primary,no,50,no,no,cellular,89
64,housemaid,married,primary,no,768,no,no,cellular,250
26,services,divorced,secondary,no,74,yes,no,unknown,106
33,boogieman,married,secondary,no,661,yes,no,cellular,968
50,self-employed,married,secondary,no,3025,no,yes,cellular,168
47,self-employed,married,tertiary,no,751,no,no,cellular,408
39,management,single,tertiary,no,416,no,no,cellular,56
52,services,married,primary,no,14,no,yes,cellular,55
31,boogieman,single,primary,no,-502,yes,no,unknown,76
50,boogieman,married,primary,no,0,no,no,cellular,72
47,technician,married,secondary,no,599,yes,no,cellular,99
30,management,single,tertiary,no,-218,yes,no,cellular,13
32,technician,single,tertiary,no,1012,no,no,cellular,178
36,technician,married,secondary,no,300,no,no,unknown,287
46,technician,married,tertiary,no,217,yes,no,cellular,141
45,management,divorced,tertiary,no,2096,no,no,cellular,127
37,technician,single,secondary,no,0,no,no,cellular,69
58,housemaid,married,primary,no,5278,yes,no,unknown,763
59,management,married,tertiary,no,1831,no,no,cellular,122
28,management,married,tertiary,no,1480,yes,no,cellular,143
48,management,married,tertiary,no,7289,yes,no,cellular,316
55,boogieman,married,unknown,no,1665,no,no,telephone,89
37,boogieman,single,primary,no,851,yes,no,cellular,151
41,management,married,tertiary,no,2885,no,no,cellular,40
35,boogieman,married,secondary,no,137,no,yes,unknown,5
34,boogieman,single,secondary,no,1239,yes,no,cellular,90
43,management,single,tertiary,no,146,no,no,cellular,50
59,technician,married,secondary,no,1,no,no,cellular,159
50,boogieman,divorced,primary,no,-10,no,yes,cellular,369
37,technician,married,secondary,no,480,no,no,cellular,344
35,technician,married,secondary,no,2789,yes,no,cellular,256
50,technician,single,secondary,no,3897,no,no,cellular,298
36,technician,divorced,secondary,no,487,no,yes,cellular,268
41,admin.,married,secondary,no,5110,yes,no,cellular,231
28,management,married,tertiary,no,318,yes,no,unknown,4
42,technician,single,tertiary,no,-411,yes,no,cellular,78
60,retired,married,secondary,no,4820,no,no,unknown,419
28,management,single,tertiary,no,4937,yes,no,telephone,421
48,entrepreneur,married,secondary,no,725,no,yes,cellular,105
51,entrepreneur,married,tertiary,no,5403,no,no,unknown,42
32,technician,married,tertiary,no,4089,no,no,cellular,114
35,technician,married,tertiary,no,188,no,no,cellular,286
37,technician,married,unknown,no,189,no,no,cellular,238
38,boogieman,divorced,secondary,no,2998,yes,no,unknown,91
77,retired,married,secondary,no,610,no,no,cellular,766
32,management,single,unknown,no,787,no,no,cellular,92
43,technician,divorced,secondary,no,167,no,no,cellular,211
36,management,single,tertiary,no,243,yes,no,cellular,160
29,management,married,tertiary,no,877,no,no,cellular,166
32,admin.,single,secondary,no,2817,yes,no,cellular,195
41,management,divorced,tertiary,no,4567,yes,yes,cellular,106
26,services,single,secondary,no,127,yes,yes,cellular,85
34,boogieman,married,primary,no,176,no,no,cellular,78
57,retired,married,tertiary,no,0,yes,yes,unknown,648
36,services,single,secondary,no,1482,yes,no,cellular,177
42,boogieman,married,secondary,no,3052,yes,no,unknown,32
35,technician,divorced,secondary,no,56,no,no,cellular,24
52,entrepreneur,divorced,primary,no,278,yes,no,unknown,688
36,management,single,tertiary,no,3875,yes,no,unknown,21
46,technician,married,secondary,no,-337,yes,no,unknown,112
60,management,divorced,tertiary,no,366,no,no,cellular,593
57,housemaid,married,primary,no,501,yes,yes,cellular,59
48,management,married,tertiary,no,998,yes,no,cellular,121
59,self-employed,married,primary,no,0,yes,no,telephone,97
39,management,married,tertiary,no,246,no,no,cellular,86
44,boogieman,married,secondary,no,-182,yes,yes,cellular,10
27,management,single,tertiary,no,446,no,no,cellular,205
59,retired,married,secondary,no,1173,no,no,unknown,77
36,technician,divorced,secondary,no,5957,yes,no,cellular,138
44,admin.,married,secondary,no,205,no,no,cellular,289
50,admin.,married,secondary,no,0,no,no,cellular,86
41,management,divorced,tertiary,no,369,yes,no,telephone,9
47,admin.,married,secondary,no,1934,no,yes,cellular,225
32,technician,single,tertiary,no,259,no,no,cellular,407
38,boogieman,married,secondary,no,284,yes,yes,unknown,1030
55,boogieman,married,unknown,no,23,no,no,cellular,123
38,management,single,tertiary,no,1373,no,no,cellular,119
31,management,single,tertiary,no,62,yes,no,cellular,175
38,boogieman,divorced,secondary,no,157,no,no,unknown,299
29,unemployed,single,tertiary,no,991,no,no,cellular,563
55,services,married,secondary,no,186,yes,yes,unknown,241
35,unemployed,married,secondary,no,977,yes,no,cellular,52
40,self-employed,single,tertiary,no,2893,no,no,cellular,76
34,boogieman,married,secondary,no,1897,yes,yes,cellular,441
32,technician,single,tertiary,no,5514,no,no,cellular,319
33,boogieman,married,secondary,no,889,yes,no,unknown,13
33,management,married,tertiary,no,273,yes,no,unknown,803
37,admin.,married,secondary,no,1193,no,no,cellular,396
58,management,married,tertiary,no,2729,no,no,unknown,188
36,admin.,single,secondary,no,0,no,no,cellular,637
42,boogieman,married,secondary,no,230,yes,no,unknown,175
34,technician,single,secondary,no,2729,yes,no,cellular,945
35,management,married,tertiary,no,317,yes,no,unknown,162
60,housemaid,married,primary,no,517,no,no,unknown,1178
50,management,married,tertiary,no,-470,yes,no,cellular,506
28,self-employed,single,tertiary,no,4579,no,no,cellular,409
27,boogieman,divorced,secondary,no,1,yes,no,cellular,116
37,management,married,tertiary,no,5106,no,no,cellular,244
31,technician,married,tertiary,no,636,yes,no,cellular,352
34,services,married,secondary,no,1076,no,no,cellular,152
38,management,married,tertiary,no,126,yes,no,unknown,164
32,self-employed,married,secondary,no,-33,yes,no,unknown,234
37,technician,married,secondary,no,430,no,no,cellular,154
33,admin.,married,secondary,no,-6,yes,no,unknown,566
71,technician,married,tertiary,no,383,no,no,cellular,327
27,technician,married,secondary,no,130,yes,no,cellular,265
38,boogieman,married,primary,no,2569,no,no,unknown,172
34,technician,single,secondary,no,201,no,no,cellular,257
54,retired,divorced,tertiary,no,0,no,no,unknown,618
30,boogieman,married,secondary,no,6,yes,no,cellular,241
35,entrepreneur,single,secondary,no,475,no,yes,cellular,936
33,boogieman,single,secondary,no,706,yes,no,cellular,329
36,management,married,secondary,no,1825,yes,no,cellular,24
59,self-employed,married,tertiary,no,185,no,no,cellular,177
72,boogieman,married,primary,no,4415,no,no,telephone,120
64,management,married,tertiary,no,679,no,no,telephone,135
53,technician,divorced,secondary,no,320,no,no,cellular,175
35,management,single,tertiary,no,2988,yes,no,cellular,179
58,self-employed,married,secondary,no,1407,yes,no,unknown,58
40,technician,married,secondary,no,1270,no,no,cellular,342
41,services,divorced,secondary,no,654,yes,no,cellular,139
48,retired,married,primary,no,5173,yes,no,unknown,88
44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,210
39,boogieman,married,unknown,no,0,no,no,cellular,731
61,management,married,tertiary,no,6016,no,no,cellular,670
36,entrepreneur,married,primary,no,177,yes,no,unknown,63
28,management,married,tertiary,no,3694,no,yes,cellular,70
58,retired,single,secondary,no,1640,no,yes,cellular,72
60,admin.,divorced,secondary,no,174,yes,no,cellular,241
66,admin.,single,secondary,no,10177,no,no,cellular,272
36,management,single,tertiary,no,490,no,no,cellular,207
49,self-employed,married,secondary,no,2576,yes,no,cellular,64
40,services,married,secondary,no,0,no,no,unknown,543
23,technician,single,secondary,no,598,no,no,cellular,166
29,management,single,tertiary,no,15459,no,no,cellular,245
44,boogieman,married,primary,no,271,yes,yes,unknown,94
54,unknown,married,unknown,no,2508,no,no,unknown,34
47,boogieman,married,primary,no,320,no,no,telephone,203
33,admin.,married,tertiary,no,640,no,no,cellular,318
30,self-employed,married,secondary,no,1772,yes,no,cellular,158
27,admin.,single,secondary,no,15,no,yes,cellular,177
49,management,divorced,tertiary,no,2370,yes,yes,unknown,56
27,services,single,secondary,no,201,yes,no,unknown,172
51,boogieman,married,secondary,no,160,yes,no,cellular,136
32,admin.,divorced,secondary,yes,5,yes,yes,cellular,82
30,boogieman,single,secondary,no,75,yes,no,unknown,123
33,admin.,married,secondary,no,4902,yes,no,cellular,110
27,boogieman,single,primary,no,-79,yes,no,unknown,385
75,retired,divorced,secondary,no,1341,no,no,cellular,415
37,services,divorced,secondary,no,490,yes,no,cellular,73
36,technician,single,secondary,no,1521,yes,no,unknown,243
37,boogieman,married,secondary,no,131,yes,no,unknown,137
35,management,married,tertiary,no,8,yes,no,unknown,55
32,services,married,secondary,no,-632,yes,yes,cellular,18
32,admin.,single,secondary,no,116,no,yes,cellular,255
35,admin.,married,primary,no,189,yes,no,cellular,95
31,boogieman,married,primary,no,2,yes,yes,cellular,112
28,boogieman,single,secondary,no,4229,yes,yes,cellular,205
27,services,married,secondary,no,54,yes,no,cellular,97
22,student,single,unknown,no,549,no,no,cellular,154
35,boogieman,married,primary,no,298,yes,no,cellular,135
69,retired,married,primary,no,579,no,no,cellular,230
37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,349
45,admin.,single,secondary,no,0,yes,no,cellular,38
47,management,married,tertiary,no,109,yes,no,cellular,268
52,management,married,tertiary,no,-11,yes,no,cellular,94
33,services,married,secondary,no,90,yes,no,cellular,263
60,boogieman,married,primary,no,493,no,no,cellular,671
33,management,divorced,secondary,no,1897,yes,yes,unknown,197
44,admin.,married,secondary,no,2403,yes,no,cellular,180
38,entrepreneur,married,secondary,no,868,no,no,cellular,452
54,entrepreneur,married,secondary,no,653,yes,no,unknown,352
32,unemployed,divorced,primary,no,0,no,no,cellular,175
33,technician,married,secondary,no,0,yes,yes,cellular,163
55,services,divorced,secondary,no,218,yes,no,unknown,200
51,boogieman,married,primary,no,5050,no,yes,unknown,75
48,boogieman,married,secondary,no,741,yes,no,cellular,227
37,services,single,secondary,no,1050,yes,no,cellular,586
33,services,single,secondary,no,-56,no,yes,cellular,119
30,boogieman,married,primary,no,1,yes,yes,telephone,80
43,boogieman,married,primary,no,-98,yes,yes,cellular,112
49,technician,married,secondary,no,4667,yes,no,unknown,130
54,unemployed,married,primary,no,541,yes,no,cellular,237
31,unemployed,married,tertiary,no,7744,no,no,cellular,377
54,unknown,married,unknown,no,895,no,no,cellular,335
36,unemployed,married,secondary,no,-129,yes,no,cellular,121
30,admin.,married,secondary,no,0,no,no,cellular,127
27,technician,single,secondary,no,158,no,no,unknown,650
30,admin.,married,secondary,no,122,yes,no,unknown,107
30,boogieman,married,secondary,no,673,yes,no,unknown,610
35,technician,divorced,secondary,no,0,no,no,cellular,124
33,services,divorced,secondary,no,411,yes,no,unknown,216
43,boogieman,divorced,primary,no,-97,yes,yes,cellular,747
41,boogieman,married,secondary,no,-217,yes,no,cellular,313
140,management,divorced,tertiary,no,5037,no,no,cellular,252
46,admin.,divorced,secondary,no,2232,no,no,cellular,121
54,boogieman,married,secondary,no,-932,yes,no,unknown,799
32,management,married,tertiary,no,913,yes,no,cellular,883
30,technician,single,tertiary,no,236,yes,no,unknown,197
40,entrepreneur,married,primary,no,0,yes,no,cellular,271
30,boogieman,married,primary,no,2581,no,no,unknown,221
27,admin.,married,secondary,no,639,no,yes,cellular,243
41,boogieman,married,primary,no,849,yes,no,unknown,72
54,services,married,secondary,no,386,yes,no,cellular,155
32,management,single,tertiary,no,1218,yes,no,telephone,70
31,management,married,tertiary,no,2603,yes,no,cellular,280
42,boogieman,married,secondary,no,-921,yes,no,unknown,115
48,admin.,married,primary,no,607,no,no,unknown,29
34,boogieman,married,primary,no,79,yes,no,cellular,406
55,technician,divorced,secondary,no,61,yes,yes,cellular,113
49,technician,married,secondary,no,1091,no,no,telephone,47
46,management,divorced,tertiary,no,743,no,no,unknown,36
47,entrepreneur,married,unknown,no,209,yes,no,unknown,135
24,management,single,tertiary,no,172,no,no,cellular,67
58,entrepreneur,married,secondary,no,2,no,no,unknown,684
32,management,single,tertiary,no,41,no,no,cellular,686
25,student,single,secondary,no,1116,yes,no,cellular,170
49,boogieman,married,secondary,no,-55,no,no,unknown,150
59,retired,divorced,secondary,no,5845,no,no,cellular,1060
30,management,single,tertiary,no,329,yes,no,unknown,122
46,boogieman,married,secondary,no,494,yes,no,unknown,724
42,management,married,unknown,no,1519,no,no,cellular,230
37,entrepreneur,married,tertiary,no,2685,no,no,unknown,187
44,boogieman,married,primary,no,-14,yes,yes,unknown,179
49,services,married,secondary,no,5673,no,yes,cellular,357
41,boogieman,married,secondary,no,1459,no,no,unknown,82
48,technician,married,tertiary,no,0,no,no,telephone,176
31,management,married,secondary,no,625,yes,no,cellular,424
37,student,married,unknown,no,0,no,no,unknown,115
51,services,married,secondary,no,867,yes,no,cellular,177
80,retired,married,secondary,no,8304,no,no,telephone,712
32,management,single,tertiary,no,151,yes,no,unknown,118
48,services,married,primary,yes,-583,yes,no,unknown,25
49,boogieman,married,tertiary,no,1784,no,no,unknown,753
30,management,married,tertiary,no,3134,yes,no,cellular,124
27,self-employed,single,secondary,no,49,yes,no,cellular,208
34,technician,married,secondary,no,-346,no,no,cellular,136
49,management,married,secondary,no,1623,yes,no,cellular,1081
48,management,married,tertiary,no,60,no,no,telephone,376
40,services,married,secondary,no,17,no,no,cellular,78
38,boogieman,married,secondary,no,2008,yes,no,cellular,354
46,boogieman,married,primary,no,91,yes,no,cellular,29
41,entrepreneur,married,tertiary,no,171,yes,no,cellular,209
28,management,single,tertiary,no,1027,yes,no,cellular,433
51,services,married,unknown,no,5801,yes,no,unknown,147
33,boogieman,divorced,primary,no,142,yes,no,telephone,41
26,management,single,tertiary,no,205,no,no,unknown,111
34,admin.,single,secondary,no,852,no,no,cellular,108
27,boogieman,married,secondary,yes,-584,yes,no,cellular,411
42,self-employed,married,secondary,no,97,no,no,cellular,108
45,admin.,married,secondary,no,204,yes,no,cellular,224
31,technician,single,secondary,no,628,yes,no,unknown,1083
32,management,single,tertiary,no,311,no,no,unknown,757
39,boogieman,married,primary,no,1564,no,no,unknown,57
26,boogieman,single,secondary,no,856,yes,yes,cellular,95
40,management,single,tertiary,no,1509,no,no,cellular,144
52,services,married,secondary,no,-888,no,no,cellular,135
40,technician,single,tertiary,no,226,no,no,cellular,176
48,technician,married,secondary,no,127,no,yes,cellular,524
31,services,married,secondary,no,413,yes,no,unknown,65
27,admin.,married,secondary,no,710,yes,yes,cellular,653
47,technician,married,secondary,no,1233,yes,no,unknown,91
28,management,single,secondary,no,171,no,no,cellular,93
40,management,divorced,tertiary,no,69,yes,no,cellular,503
34,admin.,married,secondary,no,1499,yes,no,cellular,186
29,self-employed,married,tertiary,no,751,yes,no,unknown,121
36,management,married,tertiary,no,61,no,yes,cellular,452
83,retired,married,primary,no,425,no,no,telephone,883
55,services,divorced,primary,no,2923,yes,no,unknown,104
43,management,divorced,tertiary,no,99,no,no,cellular,24
23,student,single,secondary,no,1021,no,no,telephone,79
44,technician,married,tertiary,no,1146,no,no,cellular,178
58,boogieman,married,primary,no,781,yes,no,cellular,74
29,admin.,single,secondary,no,1448,no,no,cellular,217
30,management,single,tertiary,no,604,no,yes,cellular,475
29,admin.,single,secondary,no,-194,yes,no,cellular,127
41,technician,married,secondary,no,0,no,no,cellular,101
35,housemaid,married,primary,no,0,yes,no,cellular,340
31,technician,single,secondary,no,1014,yes,no,cellular,158
27,admin.,single,tertiary,no,73,no,no,cellular,242
47,services,married,secondary,no,2597,yes,no,unknown,323
53,self-employed,married,tertiary,no,2627,yes,yes,unknown,18
34,management,married,tertiary,no,1906,yes,no,cellular,68
34,boogieman,married,primary,no,-319,yes,yes,cellular,134
36,management,married,tertiary,no,-296,yes,no,cellular,113
40,technician,married,secondary,no,169,yes,no,cellular,43
37,self-employed,single,tertiary,no,556,no,no,unknown,200
65,retired,divorced,unknown,no,300,no,no,cellular,245
53,technician,divorced,secondary,no,751,yes,no,unknown,343
28,technician,single,secondary,no,126,no,no,cellular,229
33,technician,divorced,tertiary,no,-386,yes,no,unknown,530
56,boogieman,married,primary,no,379,no,no,cellular,58
45,self-employed,married,secondary,no,706,no,no,cellular,78
39,technician,married,secondary,no,9121,no,no,unknown,147
28,management,single,tertiary,no,1466,yes,no,cellular,40
36,boogieman,married,primary,no,0,yes,no,cellular,618
41,boogieman,married,primary,no,951,yes,no,cellular,23
46,admin.,married,secondary,no,368,no,no,cellular,293
41,boogieman,married,secondary,no,121,yes,no,cellular,16
59,services,married,secondary,no,204,no,no,cellular,286
24,admin.,married,secondary,no,299,yes,no,cellular,209
34,management,married,tertiary,no,4170,yes,no,unknown,935
40,boogieman,married,primary,no,-335,yes,no,unknown,260
42,admin.,married,secondary,no,3165,yes,no,unknown,298
50,services,married,secondary,no,254,yes,no,cellular,397
25,management,single,tertiary,no,553,yes,no,cellular,113
51,services,divorced,secondary,no,518,yes,no,telephone,76
50,management,married,tertiary,no,85,no,yes,cellular,141
37,boogieman,married,unknown,no,603,yes,no,unknown,773
21,services,single,secondary,no,361,no,no,telephone,329
52,boogieman,married,secondary,no,-98,yes,no,unknown,423
55,retired,married,primary,no,4424,no,no,cellular,67
26,technician,single,secondary,no,2610,yes,yes,unknown,626
38,technician,married,tertiary,no,3234,no,no,cellular,578
32,boogieman,married,secondary,no,687,yes,no,unknown,61
31,boogieman,married,secondary,no,631,yes,no,unknown,248
34,technician,single,secondary,no,341,no,yes,cellular,136
33,technician,single,tertiary,no,316,no,no,cellular,126
35,technician,married,secondary,no,2,no,no,telephone,653
44,management,married,unknown,no,415,yes,no,telephone,7
48,management,divorced,tertiary,no,507,yes,no,cellular,528
29,boogieman,married,secondary,no,912,yes,no,cellular,785
50,management,married,tertiary,no,0,no,no,cellular,243
37,boogieman,married,primary,no,37,yes,no,cellular,24
44,admin.,single,secondary,no,2524,no,no,unknown,82
36,unemployed,single,tertiary,no,9019,yes,no,unknown,952
49,boogieman,divorced,unknown,no,39,yes,no,cellular,27
31,boogieman,married,secondary,no,0,yes,no,unknown,143
49,technician,divorced,secondary,no,265,yes,no,unknown,274
35,boogieman,single,secondary,no,0,yes,no,cellular,1174
57,admin.,divorced,unknown,no,4012,no,no,cellular,915
42,boogieman,married,primary,no,1520,yes,no,cellular,115
36,boogieman,divorced,secondary,no,-140,yes,no,unknown,222
75,retired,divorced,primary,no,852,no,no,cellular,341
38,boogieman,single,secondary,no,578,yes,no,unknown,112
40,boogieman,married,primary,yes,0,yes,no,unknown,64
38,services,single,secondary,no,2253,yes,no,cellular,937
34,management,single,tertiary,no,1171,yes,no,cellular,129
29,technician,single,tertiary,no,452,yes,no,cellular,59
28,admin.,married,secondary,no,-97,yes,no,cellular,79
79,retired,married,secondary,no,4738,no,no,telephone,151
51,admin.,divorced,secondary,no,467,yes,no,unknown,83
32,student,single,tertiary,no,0,no,no,cellular,101
36,management,married,tertiary,no,495,no,no,cellular,157
38,entrepreneur,married,secondary,no,157,no,yes,cellular,57
49,self-employed,married,secondary,no,358,yes,yes,unknown,176
42,services,married,secondary,no,292,yes,no,cellular,222
43,boogieman,married,primary,no,7343,yes,no,unknown,217
34,boogieman,married,secondary,no,-563,yes,no,unknown,252
59,retired,single,secondary,no,351,yes,no,unknown,1063
35,unknown,married,primary,no,365,no,no,cellular,41
33,boogieman,single,secondary,no,13494,yes,no,unknown,27
34,admin.,single,secondary,no,846,yes,no,cellular,758
64,retired,married,secondary,no,1574,no,no,telephone,301
34,entrepreneur,married,tertiary,no,-28,yes,no,cellular,574
77,retired,married,tertiary,no,0,no,no,cellular,847
57,retired,married,primary,no,2927,no,yes,telephone,78
30,boogieman,married,secondary,no,501,yes,yes,unknown,514
56,housemaid,divorced,primary,yes,1238,no,no,unknown,1558
134,unknown,married,unknown,no,301,no,no,cellular,789
73,retired,married,primary,no,1388,no,no,cellular,146
39,technician,single,secondary,no,102,yes,no,cellular,272
57,technician,divorced,primary,no,13,yes,no,cellular,323
32,self-employed,married,secondary,no,413,yes,no,cellular,712
32,technician,single,tertiary,no,4665,yes,no,unknown,860
45,admin.,married,secondary,no,638,yes,no,cellular,75
32,boogieman,married,secondary,no,101,yes,no,unknown,191
31,management,married,tertiary,no,1224,yes,yes,cellular,1441
49,self-employed,married,secondary,no,1103,no,no,cellular,428
29,services,married,secondary,no,3748,no,no,cellular,322
55,technician,married,secondary,no,955,yes,no,cellular,104
30,admin.,married,secondary,no,518,yes,no,cellular,127
45,services,single,primary,no,1893,yes,no,unknown,1259
39,technician,married,tertiary,no,14,no,no,cellular,114
36,admin.,married,secondary,no,-423,yes,yes,unknown,106
33,management,married,tertiary,no,3696,no,no,cellular,305
36,management,married,tertiary,no,2987,yes,no,cellular,307
31,technician,single,secondary,no,433,no,no,cellular,1504
36,technician,married,unknown,no,756,no,no,cellular,396
38,technician,single,tertiary,no,0,yes,no,cellular,71
33,unknown,married,secondary,no,2727,no,no,cellular,205
40,technician,married,secondary,no,93,yes,no,unknown,134
31,boogieman,married,secondary,no,1766,no,yes,cellular,166
39,services,married,secondary,no,124,yes,no,cellular,81
33,admin.,married,tertiary,no,69,no,yes,cellular,77
53,services,divorced,secondary,no,0,no,no,cellular,80
38,management,married,tertiary,no,0,yes,no,cellular,537
59,technician,married,secondary,no,259,no,no,cellular,415
55,boogieman,married,primary,no,4103,no,no,cellular,291
38,technician,single,tertiary,no,744,yes,no,cellular,283
48,services,married,secondary,no,116,yes,no,telephone,70
53,boogieman,married,secondary,no,70,yes,no,unknown,611
44,admin.,divorced,secondary,no,432,no,no,cellular,132
57,management,married,tertiary,no,1172,no,no,unknown,26
29,boogieman,single,secondary,no,9,yes,no,cellular,262
31,services,married,secondary,no,428,yes,no,unknown,272
35,technician,single,tertiary,no,7546,yes,no,cellular,137
31,boogieman,married,primary,no,620,no,no,cellular,95
35,self-employed,married,tertiary,no,8647,no,no,cellular,140
40,management,single,secondary,no,192,yes,no,unknown,71
39,boogieman,married,secondary,no,0,yes,no,cellular,502
43,technician,single,tertiary,no,27733,yes,no,unknown,164
44,entrepreneur,married,primary,no,276,yes,yes,unknown,219
29,technician,single,secondary,no,113,no,no,cellular,328
40,technician,married,secondary,no,782,yes,no,unknown,224
33,entrepreneur,married,primary,no,82,yes,no,cellular,63
46,management,married,tertiary,no,1008,no,no,cellular,24
27,unknown,single,tertiary,no,6421,no,no,telephone,147
26,admin.,single,secondary,no,443,no,no,cellular,84
41,technician,married,secondary,no,351,yes,no,cellular,175
34,technician,married,tertiary,no,5060,yes,no,cellular,12
39,technician,single,tertiary,no,-41,no,yes,cellular,40
27,services,single,secondary,no,-124,no,no,cellular,217
